"","cross_LGAa_1","cross_LGAb_1","vis_LGA_1","snow_LGA_1","TS_LGA_1","rain_LGA_1","status_LGA","A_LGA","AirDelay_LGA"
"260",22.6505783192808,9.19253331742774,10,"FALSE","FALSE","FALSE",1,38,3.87
"261",22.6505783192808,9.19253331742774,10,"FALSE","FALSE","FALSE",1,37,4.68
"262",7.71345131623847,9.19253331742774,10,"FALSE","FALSE","FALSE",1,31,3.61
"263",7.71345131623847,9.19253331742774,10,"FALSE","FALSE","FALSE",1,41,11.22
"264",7.71345131623847,9.19253331742774,10,"FALSE","FALSE","FALSE",1,39,1.5
"265",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,37,4.59
"266",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,17,2.12
"267",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,21,2.52
"268",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,18,3.53
"269",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,23,1.13
"270",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,29,2.72
"271",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,18,1.05
"272",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,33,10.26
"273",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,15,4.25
"274",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,12,-1.08
"275",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,13,-6.43
"276",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,9,-1.5
"277",16.9144671741463,7.66044443118978,10,"FALSE","FALSE","FALSE",0,36,2.22
"278",16.9144671741463,7.66044443118978,10,"FALSE","FALSE","FALSE",0,24,2.33
"279",16.9144671741463,7.66044443118978,10,"FALSE","FALSE","FALSE",0,36,-21.61
"280",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,36,1.14
"281",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,36,3.19
"282",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,38,2.69
"283",9.84807753012208,7.66044443118978,10,"FALSE","FALSE","FALSE",0,33,1.18
"284",9.84807753012208,7.66044443118978,10,"FALSE","FALSE","FALSE",0,37,2.84
"285",9.84807753012208,7.66044443118978,10,"FALSE","FALSE","FALSE",0,38,4.28
"286",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,31,2.52
"287",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,39,4.1
"288",6.42787609686539,7.66044443118978,10,"FALSE","FALSE","FALSE",0,38,1.97
"289",8,6.57784834550136,10,"FALSE","FALSE","FALSE",0,44,-12.07
"290",8,6.57784834550136,10,"FALSE","FALSE","FALSE",0,29,-27.76
"291",8,6.57784834550136,10,"FALSE","FALSE","FALSE",0,38,-20.39
"292",8,0,10,"FALSE","FALSE","FALSE",0,37,4.26
"293",8,0,10,"FALSE","FALSE","FALSE",0,38,5.18
"294",8,0,10,"FALSE","FALSE","FALSE",0,38,5.45
"295",8,9.84807753012208,10,"FALSE","FALSE","FALSE",0,35,3.12
"296",8,9.84807753012208,10,"FALSE","FALSE","FALSE",0,38,3.97
"297",8,9.84807753012208,10,"FALSE","FALSE","FALSE",0,37,6.64
"298",8,0,10,"FALSE","FALSE","FALSE",0,31,3.5
"299",8,0,10,"FALSE","FALSE","FALSE",0,41,7.22
"300",8,0,10,"FALSE","FALSE","FALSE",0,39,6.58
"301",9,15.5884572681199,10,"FALSE","FALSE","FALSE",0,44,-9.91
"302",9,15.5884572681199,10,"FALSE","FALSE","FALSE",0,29,-21
"303",9,15.5884572681199,10,"FALSE","FALSE","FALSE",0,38,-17.87
"304",9,15.5884572681199,10,"FALSE","FALSE","FALSE",0,36,3.36
"305",9,15.5884572681199,10,"FALSE","FALSE","FALSE",0,37,4.89
"306",9,15.5884572681199,10,"FALSE","FALSE","FALSE",0,37,2.41
"307",9,15.5884572681199,10,"FALSE","FALSE","FALSE",0,35,4.65
"308",9,15.5884572681199,10,"FALSE","FALSE","FALSE",0,38,2.76
"309",9,15.5884572681199,10,"FALSE","FALSE","FALSE",0,37,3.24
"310",9,15.5884572681199,10,"FALSE","FALSE","FALSE",0,31,0.75
"311",9,15.5884572681199,10,"FALSE","FALSE","FALSE",0,40,6.54
"312",9,15.5884572681199,10,"FALSE","FALSE","FALSE",0,37,5.54
"313",8.66025403784439,7.87846202409766,10,"FALSE","FALSE","FALSE",0,44,-25.63
"314",8.66025403784439,7.87846202409766,10,"FALSE","FALSE","FALSE",0,28,-21.07
"315",8.66025403784439,7.87846202409766,10,"FALSE","FALSE","FALSE",0,38,-18.34
"316",8.66025403784439,5,10,"FALSE","FALSE","FALSE",0,35,4.92
"317",8.66025403784439,5,10,"FALSE","FALSE","FALSE",0,38,8.69
"318",8.66025403784439,5,10,"FALSE","FALSE","FALSE",0,37,7.84
"319",8.66025403784439,11.8176930361465,10,"FALSE","FALSE","FALSE",0,35,4.69
"320",8.66025403784439,11.8176930361465,10,"FALSE","FALSE","FALSE",0,38,2.41
"321",8.66025403784439,11.8176930361465,10,"FALSE","FALSE","FALSE",0,37,5.55
"322",8.66025403784439,5,10,"FALSE","FALSE","FALSE",0,31,3.41
"323",8.66025403784439,5,10,"FALSE","FALSE","FALSE",0,40,2.93
"324",8.66025403784439,5,10,"FALSE","FALSE","FALSE",0,39,2.33
